"Estudiantes, Nuevos Inscriptos, Reinscriptos y Egresados de títulos de pregrado, grado y posgrado por género, carrera, unidad académica y por tipo de institución. Año 2017,",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevos Inscriptos Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres
Universidad,Universidad Nacional de Rosario,Facultad de Humanidades y Artes,Música,Profesor en Canto con orientación en Canto de Cámara,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rosario,Facultad de Ca. Política y Relaciones Internacionales - Facultad de Cs. Económicas y Estadística,Turismo y Hotelería,Licenciado en Turismo,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rosario,Facultad de Humanidades y Artes,Carrera No Definida,Licenciado en Canto con orientación alternativa en Canto de Cámara,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de San Luis,Facultad de Psicología,Educación Especial,Licenciado en Psicomotricidad,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Tucumán,Escuela de Enfermería - Convenio Simoca,Enfermería,Licenciado en Enfermería,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Tucumán,Instituto de Educación Física de Aguilares,Educación Física y Deportes,Licenciado en Educación Física,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de La Matanza,Escuela de Formación Continua,Ciencias de la Educación,Licenciado en Administración de la Educación Superior - Ciclo de Licenciatura,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Villa María,Instituto Académico Pedagógico de Ciencias Sociales,Administración y Gestión Cultural,Licenciado en Gestión Universitaria,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Villa María,Instituto Académico Pedagógico de Ciencias Básicas y Aplicadas,Ingeniería Agronómica,Ingeniero Agrónomo,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Villa Mercedes,Escuela de Gestion de Empresas y Economia,Logística y Transportes,Licenciado en Logística,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Villa Mercedes,Escuela de Ingenieria,Ingeniería en Sistemas,Ingeniero en Sistemas de Información,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Villa Mercedes,Escuela de Ciencias Sociales y Educación,Educación Básica,Profesor de Educación Primaria,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Villa Mercedes,Escuela de Ciencias Sociales y Educación,Educación Inicial,Profesor de Educación Inicial,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Villa Mercedes,Escuela de Gestion de Empresas y Economia,Comunicación Social,Licenciado en Diseño de Comunicación,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de la Defensa Nacional,Colegio Militar de la Nación,Ciencia Política,Licenciado en Conducción y Gestión Operativa con Orientación Alternativa en Contable,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de la Defensa Nacional,Colegio Militar de la Nación,Ciencia Política,Licenciado en Conducción y Gestión Operativa con Orientación Alternativa en Logística de Material,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de las Artes,Área transdepartamental de Formación Docente,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor/a de Artes en Música con Orientación en Folklore,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de las Artes,Área transdepartamental de Formación Docente,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor/a de Artes en Danza con orientación en Folklore,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
